shipment_id,product_name,category,temperature_C,humidity_percent,safe_temp_low_C,safe_temp_mid_C,safe_temp_high_C,humidity_low_percent,humidity_mid_percent,humidity_high_percent,exposure_hours,ethylene_ppm,co2_ppm,nh3_ppm,h2s_ppm,temp_deviation,temp_deviation_degree_hr,cumulative_damage_index,humidity_deviation,temp_danger_flag,spoilage_probability,remaining_shelf_life_hours,risk_category,recommended_action,category_encoded,product_name_encoded,risk_encoded,action_encoded
SHP_0,Grapes,fruit,11.37,92.29,0,1,2,90,92,95,1.58,6.24,1033.17,2.9,25.99,10.37,16.3846,0.163846,0.29000000000000625,1,0.053,90,Low,Maintain cold chain,1,7,2,2
SHP_1,Onion,vegetable,13.61,78.94,10,12,15,70,75,80,6.13,0.82,4858.58,41.62,6.37,1.6099999999999994,9.869299999999996,0.09869299999999996,3.9399999999999977,0,0.088,87,Low,Maintain cold chain,3,11,2,2
SHP_2,Banana,fruit,12.91,50.09,13,14,16,80,85,90,14.58,17.28,1668.78,30.59,4.18,-1.0899999999999999,-15.892199999999997,0.15892199999999998,-34.91,0,0.02,94,Low,Maintain cold chain,1,1,2,2
SHP_3,Apple,fruit,7.17,60.15,0,2,4,85,90,95,3.15,18.24,3990.33,9.98,15.43,5.17,16.2855,0.162855,-29.85,1,0.02,94,Low,Maintain cold chain,1,0,2,2
SHP_4,Apple,fruit,27.89,42.55,0,2,4,85,90,95,13.91,2.6,4759.76,48.28,24.25,25.89,360.1299,3.601299,-47.45,1,0.393,58,Medium,Increase cooling,1,0,3,1
SHP_5,Onion,vegetable,23.74,45.37,10,12,15,70,75,80,11.33,27.37,2368.72,6.1,14.86,11.739999999999998,133.0142,1.330142,-29.630000000000003,1,0.185,78,Low,Maintain cold chain,3,11,2,2
SHP_6,Apple,fruit,6.14,90.01,0,2,4,85,90,95,18.45,12.47,2744.32,27.34,5.55,4.14,76.383,0.76383,0.010000000000005116,1,0.137,82,Low,Maintain cold chain,1,0,2,2
SHP_7,Chicken,meat,7.88,82.63,0,1,2,85,90,95,8.83,37.58,4505.69,29.89,27.66,6.88,60.7504,0.607504,-7.3700000000000045,1,0.02,94,Low,Maintain cold chain,2,5,2,2
SHP_8,Potato,vegetable,21.8,50.78,10,12,15,85,90,92,23.02,15.55,1575.34,41.44,10.7,9.8,225.596,2.25596,-39.22,1,0.276,69,Low,Maintain cold chain,3,14,2,2
SHP_9,Grapes,fruit,0.12,69.85,0,1,2,90,92,95,3.13,5.64,4070.33,3.73,29.61,-0.88,-2.7544,0.027544,-22.150000000000006,0,0.02,94,Low,Maintain cold chain,1,7,2,2
SHP_10,Paneer,dairy,16.95,50.93,2,3,4,80,85,90,20.49,30.85,648.01,17.92,3.48,13.95,285.83549999999997,2.8583549999999995,-34.07,1,0.409,56,Medium,Increase cooling,0,13,3,1
SHP_11,Mango,fruit,16.32,74.28,12,14,16,80,85,90,17.78,13.24,598.72,15.55,9.76,2.3200000000000003,41.24960000000001,0.4124960000000001,-10.719999999999999,1,0.098,86,Low,Maintain cold chain,1,8,2,2
SHP_12,Butter,dairy,18.57,75.07,2,4,6,75,80,85,2.81,4.78,3652.25,38.04,16.84,14.57,40.941700000000004,0.40941700000000003,-4.930000000000007,1,0.048,91,Low,Maintain cold chain,0,2,2,2
SHP_13,Paneer,dairy,4.08,67.16,2,3,4,80,85,90,14.28,20.91,2309.44,1.27,3.24,1.08,15.4224,0.154224,-17.840000000000003,1,0.07,89,Low,Maintain cold chain,0,13,2,2
SHP_14,Mango,fruit,22.28,75.0,12,14,16,80,85,90,16.21,36.3,1471.67,20.52,22.67,8.280000000000001,134.21880000000002,1.3421880000000002,-10.0,1,0.172,79,Low,Maintain cold chain,1,8,2,2
SHP_15,Banana,fruit,13.14,44.23,13,14,16,80,85,90,20.67,11.59,1057.74,46.48,24.24,-0.8599999999999994,-17.77619999999999,0.1777619999999999,-40.77,0,0.02,94,Low,Maintain cold chain,1,1,2,2
SHP_16,Butter,dairy,17.7,87.93,2,4,6,75,80,85,7.39,35.7,2834.91,40.37,26.88,13.7,101.243,1.01243,7.930000000000007,1,0.1,86,Low,Maintain cold chain,0,2,2,2
SHP_17,Tomato,vegetable,17.27,46.05,10,12,14,85,90,92,9.51,9.12,2307.41,40.9,25.82,5.27,50.11769999999999,0.5011769999999999,-43.95,1,0.088,87,Low,Maintain cold chain,3,15,2,2
