shipment_id,product_name,category,temperature_C,humidity_percent,safe_temp_low_C,safe_temp_mid_C,safe_temp_high_C,humidity_low_percent,humidity_mid_percent,humidity_high_percent,exposure_hours,ethylene_ppm,co2_ppm,nh3_ppm,h2s_ppm,temp_deviation,temp_deviation_degree_hr,cumulative_damage_index,humidity_deviation,temp_danger_flag,spoilage_probability,remaining_shelf_life_hours,risk_category,recommended_action
SHP_0,Grapes,fruit,11.37,92.29,0,1,2,90,92,95,1.58,6.24,1033.17,2.9,25.99,10.37,16.34,0.02,0.29,1,0.053,90,Low,Maintain cold chain
SHP_1,Onion,vegetable,13.61,78.94,10,12,15,70,75,80,6.13,0.82,4858.58,41.62,6.37,1.61,9.86,0.012,3.94,0,0.088,87,Low,Maintain cold chain
SHP_2,Banana,fruit,12.91,50.09,13,14,16,80,85,90,14.58,17.28,1668.78,30.59,4.18,0.0,0.0,0.0,-34.91,0,0.02,94,Low,Maintain cold chain
SHP_3,Apple,fruit,7.17,60.15,0,2,4,85,90,95,3.15,18.24,3990.33,9.98,15.43,5.17,16.31,0.02,-29.85,1,0.02,94,Low,Maintain cold chain
SHP_4,Apple,fruit,27.89,42.55,0,2,4,85,90,95,13.91,2.6,4759.76,48.28,24.25,25.89,360.04,0.45,-47.45,1,0.393,58,Medium,Increase cooling
SHP_5,Onion,vegetable,23.74,45.37,10,12,15,70,75,80,11.33,27.37,2368.72,6.1,14.86,11.74,133.05,0.166,-29.63,1,0.185,78,Low,Maintain cold chain
SHP_6,Apple,fruit,6.14,90.01,0,2,4,85,90,95,18.45,12.47,2744.32,27.34,5.55,4.14,76.35,0.095,0.01,1,0.137,82,Low,Maintain cold chain
SHP_7,Chicken,meat,7.88,82.63,0,1,2,85,90,95,8.83,37.58,4505.69,29.89,27.66,6.88,60.71,0.076,-7.37,1,0.02,94,Low,Maintain cold chain
SHP_8,Potato,vegetable,21.8,50.78,10,12,15,85,90,92,23.02,15.55,1575.34,41.44,10.7,9.8,225.47,0.282,-39.22,1,0.276,69,Low,Maintain cold chain
SHP_9,Grapes,fruit,0.12,69.85,0,1,2,90,92,95,3.13,5.64,4070.33,3.73,29.61,0.0,0.0,0.0,-22.15,0,0.02,94,Low,Maintain cold chain
SHP_10,Paneer,dairy,16.95,50.93,2,3,4,80,85,90,20.49,30.85,648.01,17.92,3.48,13.95,285.87,0.357,-34.07,1,0.409,56,Medium,Increase cooling
SHP_11,Mango,fruit,16.32,74.28,12,14,16,80,85,90,17.78,13.24,598.72,15.55,9.76,2.32,41.18,0.051,-10.72,1,0.098,86,Low,Maintain cold chain
SHP_12,Butter,dairy,18.57,75.07,2,4,6,75,80,85,2.81,4.78,3652.25,38.04,16.84,14.57,40.97,0.051,-4.93,1,0.048,91,Low,Maintain cold chain
SHP_13,Paneer,dairy,4.08,67.16,2,3,4,80,85,90,14.28,20.91,2309.44,1.27,3.24,1.08,15.48,0.019,-17.84,1,0.07,89,Low,Maintain cold chain
